kmeans_index,start,end
0,1,1903
1,1904,3318
2,3319,7743
3,7744,9140
4,9141,10818
5,10819,12498
6,12499,13815
7,13816,16247
8,16248,19229
9,19230,21379
10,21380,23600
11,23601,25969
12,25970,28354
13,28355,31539
14,31540,33104
15,33105,34470
16,34471,36172
17,36173,38321
18,38322,39724
19,39725,41897
20,41898,43558
21,43559,46896
22,46897,48337
23,48338,50035
24,50036,51840
25,51841,53463
26,53464,55420
27,55421,57203
28,57204,58917
29,58918,61502
30,61503,63086
31,63087,64765
32,64766,66378
33,66379,68795
34,68796,71184
35,71185,72882
36,72883,74789
37,74790,76573
38,76574,78743
39,78744,80906
40,80907,82565
41,82566,84069
42,84070,86543
43,86544,88461
44,88462,89936
45,89937,91204
46,91205,92595
47,92596,94077
48,94078,97281
49,97282,98946
50,98947,100934
51,100935,103182
52,103183,105190
53,105191,106707
54,106708,109061
55,109062,111368
56,111369,113083
57,113084,114236
58,114237,116159
59,116160,118128
60,118129,119328
61,119329,120934
62,120935,122718
63,122719,124544
64,124545,125903
65,125904,127572
66,127573,129252
67,129253,131726
68,131727,133299
69,133300,134463
70,134464,136747
71,136748,139454
72,139455,140781
73,140782,143296
74,143297,144716
75,144717,146197
76,146198,148204
77,148205,149795
78,149796,152211
79,152212,153479
80,153480,155172
81,155173,156616
82,156617,158782
83,158783,160124
84,160125,162938
85,162939,165098
86,165099,166727
87,166728,168847
88,168848,170909
89,170910,172169
90,172170,173947
91,173948,177481
92,177482,179507
93,179508,181620
94,181621,183585
95,183586,185259
96,185260,186857
97,186858,188264
98,188265,190821
99,190822,192466
